id,artist,title,medium,year
54296,"turner, joseph mallord william",the mouth of loch nevis from the sound of sleat,graphite on paper,1831
33483,"turner, joseph mallord william",three studies of a cow,graphite on paper,1806
6815,"house, gordon",red matrices,screenprint on paper,1967
1445,"braque, georges",the bird,lithograph on paper,1949
3112,"daniell, william",loch hourne head,copper plate,1814
19684,"turner, joseph mallord william","crypt, in kirkstall abbey, yorkshire, engraved by scott",engraving on paper,1814
65006,"turner, joseph mallord william","tintagel: the haven, with stone-lifting gear and the castle above",graphite on paper,1811
96270,"ferrari, león",[no title],digital print on paper,1976
7159,"johns, jasper",sketch from untitled ii,lithograph on paper,1974
43815,"turner, joseph mallord william","the confluence of the tiber and aniene rivers with the torre salaria, rome",graphite and watercolour on paper,1819
32590,"turner, joseph mallord william",a nude woman seated,graphite on paper,1800
11120,"paolozzi, sir eduardo",from early italian poets,screenprint on paper,1974
52005,"turner, joseph mallord william",quillebeuf,gouache and watercolour on paper,1832
5222,"gill, eric",jesus receives his cross,wood engraving on paper,1917
58499,"turner, joseph mallord william",mountains beside river,graphite on paper,1843
8268,"lambert, george",moorland landscape with rainstorm,oil paint on canvas,1751
61274,"turner, joseph mallord william",lucerne,graphite on paper,1830
55605,"turner, joseph mallord william","view at luxembourg, along the alzette valley",graphite on paper,1839
18842,"turner, joseph mallord william",havre,intaglio print on paper,1834
40166,"turner, joseph mallord william","the archbishop’s castle at andernach, seen from the south, just outside the town walls by the coblenz gate",graphite on paper,1817
50767,"turner, joseph mallord william","harbour, etc.",graphite on paper,1826
48968,"turner, joseph mallord william",[inscriptions by turner],graphite on paper,1828
45234,"turner, joseph mallord william",cart with figures,watercolour on paper,1823
28659,"turner, joseph mallord william",distant view of malmesbury abbey from the north,graphite on paper,1798
24109,british school 18th century,farmhouse,graphite and watercolour on paper,
78454,"hamilton finlay, ian",the harbour (collaboration with michael harvey),screenprint on ceramic tile,1975
48847,"turner, joseph mallord william",mountains,graphite on paper,1828
19553,"hamilton, richard",finn maccool,"photo-etching, aquatint and engraving on paper",1983
43573,"turner, joseph mallord william","landscape near rome, with ponte molle in distance",graphite on paper,1819
16133,"whitcombe, thomas",the battle of camperdown,oil paint on canvas,1798
25863,british (?) school,harvest,etching and engraving on paper,1753
123140,"musgrave, david",animal,resin and enamel paint,1998
41173,"turner, joseph mallord william",inscription by turner: ?notes for a continental itinerary,graphite on paper,1817
6143,"heron, patrick",three reds in green and magenta in blue : april 1970,screenprint on paper,1970
15522,"turner, joseph mallord william",bowes tower,line engraving on paper,1834
48274,"turner, joseph mallord william","rocks, with ruins",graphite on paper,1828
918,"de belleroche, count albert",olympia de la fontaine,oil paint on wood,1904
3743,"denny, robyn",[title not known],screenprint on paper,1968
120560,"collein, edmund","untitled (material study, josef albers’ preliminary course, bauhaus dessau)","photograph, gelatin silver print on paper",1927
10796,"nolan, sir sidney",cross,screenprint on paper,1966
14468,"trevelyan, julian",winter,intaglio print on paper,1974
46467,"turner, joseph mallord william",scenes on quay,graphite on paper,1825
53208,"turner, joseph mallord william",dumfries,graphite on paper,1831
19728,"turner, joseph mallord william","dover from shakespeare’s cliff, engraved by g. cooke",engraving on paper,1826
80761,"walker, john",the studio,"etching, aquatint and oil paint on paper",1999
105874,"beuys, joseph",gespräch mit joseph beuys. galerie nächst st. stephan,print on paper,1979
3319,"daniell, william",boscastle pier on the coast of cornwall,aquatint on paper,1814
25140,british (?) school,[title not known],graphite on paper,
50237,"turner, joseph mallord william",arundel town and castle,graphite on paper,1830
16499,"wynter, bryan",saja,oil paint and acrylic paint on canvas,1969
41608,"turner, joseph mallord william",view on lake como; torno and villa pliniana from the north,graphite on paper,1819
38627,"turner, joseph mallord william",bolton castle from the north,graphite on paper,1816
39802,"turner, joseph mallord william",bywell castle and the river tyne towards sunset,graphite on paper,1817
37404,"turner, joseph mallord william",fort,graphite on paper,1814
45490,"turner, joseph mallord william","totnes, on the river dart",graphite and watercolour on paper,1824
51981,"turner, joseph mallord william",near nantes: loire barges in a gust of wind,"watercolour, gouache and pen and watercolour on paper",1826
59766,"turner, joseph mallord william",?biron lock [turner],graphite on paper,1833
52322,"turner, joseph mallord william",[title not known],graphite on paper,1830
13973,"stuart, gilbert",william woollett the engraver,oil paint on canvas,1783
57740,"turner, joseph mallord william",ostend: harbour,graphite on paper,1840
52346,"turner, joseph mallord william",[title not known],graphite on paper,1830
52199,"turner, joseph mallord william","the harbour at cowes, from the battlements of east cowes castle",chalk and pen and ink on paper,1827
96315,"ferrari, león",[no title],digital print on paper,1976
27806,"turner, joseph mallord william",landscape composition with a ruined castle on a cliff,graphite and watercolour on paper,1792
4033,"dufy, raoul",olive trees by the golfe juan,watercolour on paper,1927
60711,"turner, joseph mallord william",eu: the cathedral from the east,graphite and watercolour on paper,1845
34019,"turner, joseph mallord william",a barge and rowing boats at sunset,graphite on paper,1806
41481,"turner, joseph mallord william","three sketches in savoy, ?near aiguebelle",graphite on paper,1819
41786,"turner, joseph mallord william",the waterfront between san moise and the piazzetta,graphite on paper,1819
101127,"zaatari, akram","najm. studio shehrazade, saida, lebanon, 1956. hashem el madani","photograph, gelatin silver print on paper",2007
2820,"cotman, john sell",crowland abbey,watercolour on paper,1804
31765,"turner, joseph mallord william",commentary on domenichino’s ‘hercules and cacus’ (inscription by turner),graphite on paper,1802
1517,british school 18th century,the tummel,oil paint on wood,1750
45779,"turner, joseph mallord william",two views of arundel castle and windmill,graphite on paper,1824
42073,"turner, joseph mallord william","buildings in the apennine mountains; ?pale, near foligno",graphite on paper,1819
51275,"turner, joseph mallord william",[title not known],graphite on paper,1832
100161,"rhodes, carol",airport,oil paint on hardboard,1995
14640,"turner, joseph mallord william","lake of thun, engraved by charles turner","etching, drypoint and mezzotint on paper",1808
30649,"turner, joseph mallord william","?the ruins of bonshaw tower near kirtlebridge, dumfriesshire, with the solway firth in the distance",graphite on paper,1801
98662,"beuys, joseph",the shaman’s two bags,"graphite, crayon and ink on paper",1977
42541,"turner, joseph mallord william","studies of sculptural fragments from the vatican museums, including a statue of a nymph and part of the front of a sarcophagus",graphite on paper,1819
25234,british (?) school,[title not known],chalk on paper,
10181,"moore, henry, om, ch",rhinoceros,etching on paper,1982
40482,"turner, joseph mallord william",on the river,graphite on paper,1817
37481,"turner, joseph mallord william",vessels,graphite on paper,1814
51331,"turner, joseph mallord william",distant hills,graphite on paper,1832
4575,"frink, dame elisabeth",the miller’s tale ii,etching and aquatint on paper,1972
64181,"turner, joseph mallord william",[title not known],graphite on paper,
